,Ticker
943,CLNE
944,I
945,I'd
946,ACH?
947,CA
948,$XM
949,$XM
950,RTPY
951,I
952,NEW
953,NFT
954,NEW
955,NFT
956,NFT
957,FNKO
958,A
959,NFT
960,Funko-A
961,$FNKO
962,NFT
963,VACQ
964,I
965,LOVE
966,THIS!!!
967,BITGATTI
968,TOKEN
969,DBX
970,GME
971,buy…AMC!
972,TV)
973,OFF!!
974,I
975,ETC
976,SPCE
977,$PLUG
978,YOLO.....
979,YOLO
980,WEALTHSIMPLE
981,NOW
982,LISTING
983,DIGIMAX
984,$DBKSF
985,$DIGI
986,STOCK
987,$NVCN
988,$NVCN
989,AMC…how
990,I
991,MASSIVE
992,BET
993,ON
994,$PLUG-
995,EARNINGS
996,BEAT
997,AH
998,BBIG
999,BBIG
1000,I
1001,$CLOV
1002,MVST
1003,I
1004,AMC
1005,I’m
1006,I
1007,MMEX.
1008,I’m
1009,DD
1010,VIAC
1011,DD
1012,P+
1013,NAUT
1014,$HCMC
1015,$PM
1016,$NAUT
1017,I
1018,$HCMC
1019,HCMC
1020,PM
1021,HCMC
1022,I’m
1023,FAKE
1024,NEWS
1025,BY
1026,CAPITAL
1027,$NAUT
1028,FAKE
1029,NEWS
1030,BY
1031,CAPITAL
1032,r/BTB
1033,I
1034,PLTR
1035,$NAUT
1036,r/BTB
1037,$RECAF
1038,OIL
1039,DISCOVERY
1040,PLAY
1041,WITH
1042,HUGE
1043,POTENTIAL
1044,I’m
1045,ITRI
1046,$HOOD
1047,WSB
1048,AMC!
1049,ITRI
1050,NSFW]
1051,HOOD
1052,AMC
1053,AMD
1054,AMD
1055,I
1056,EDIT
1057,MCFE
1058,AH.
1059,A
1060,NFA.
1061,HOOD
1062,APPH.
1063,($MVST)
1064,I
1065,AMC
1066,ANY
1067,IDEAS
1068,ON
1069,WHY
1070,TTCF
1071,WENT
1072,UP
1073,WHEN
1074,IT'S
1075,SECTOR
1076,WENT
1077,DOWN??
1078,ALSO
1079,(ER
1080,DOES
1081,ANYONE
1082,KNOW
1083,ANYTHING
1084,HERE????
1085,AMC!
1086,I
1087,I’m
1088,AMC
1089,$CZO
1090,$CZO
1091,ONLY
1092,VNE
1093,GREEEEEN
1094,LET'S
1095,GOOO!
1096,B.
1097,$OMGA?
1098,ACH?
1099,B!!!
1100,THE
1101,MVST
1102,AMC
1103,LPTX
1104,YOLO
1105,WSB
1106,$PLD
1107,"P/E,"
1108,CTMX
1109,A
1110,I
1111,$AB
1112,(FGEN)
1113,(I/O
1114,AMC
1115,$ATNF
1116,DD
1117,FOMO?
1118,QGEN
1119,FDA
1120,(EUA)
1121,IPO
1122,FNKO
1123,TL;DR
1124,$NYMT
1125,I
1126,$TYHT!!!
1127,SEC
1128,MX
1129,QFIN
1130,PE
1131,QFIN
1132,PE
1133,SPY
1134,ETF
1135,I
1136,I
1137,TSP
1138,NTDOY
1139,($ATER)
1140,ATERIAN
1141,$FVRR
1142,ATNF
1143,VTSMX?
1144,$WISH
1145,$WEBR
1146,IPO
1147,(ZM)
1148,ETF?
1149,SPYG
1150,$SFT:
1151,$SFT:
1152,HMLP.
1153,RXST
1154,AHT
1155,[DD]
1156,ZOM
1157,(LUMN)
1158,I
1159,I
1160,I’ve
1161,($VTGN)?
1162,WORK
1163,I’m
1164,HOOD
1165,I
1166,I'm
1167,$MVST
1168,DD:
1169,A
1170,EV
1171,DD:
1172,A
1173,EV
1174,$MVST
1175,DD:
1176,A
1177,EV
1178,$MVST
1179,DD:
1180,A
1181,EV
1182,$MVST
1183,LB
1184,VSCO
1185,BBWI.
1186,LB
1187,EPS.
1188,EPS.
1189,$ANY
